,Track name,Artist name,Track uri,Popularity,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Key,Track type,sentiment,sentiment score
27,"1,2,3 (love on tree)",WET,spotify:track:6ShFVG53D6kQKuBZMIeWAw,31,0.443,0.627,-5.184,1.0,0.0416,0.307,0.0,0.34,0.111,89.8,176000.0,11.0,"RADAR, K-pop",None,0.0
28,1/1440,HEIZE,spotify:track:7sGiGKYPw7q3gProl7YJ7Z,31,0.733,0.511,-6.086,1.0,0.0285,0.749,0.0,0.106,0.417,106.026,184027.0,5.0,K-pop,Positive,70.96000000000001
29,10 Minutes,Lee Hyori,spotify:track:2Tfv41qZ0U3ahZiKiDBa4a,41,0.934,0.671,-7.253,1.0,0.0754,0.0464,0.0,0.085,0.869,96.371,236147.0,0.0,K-pop,Positive,7.720000000000001
30,"10,000 Hours (with Justin Bieber)",Dan + Shay,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,84,0.654,0.63,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,167693.0,10.0,"Pop, Decades",Positive,93.66
31,"10,000 Hours (with Justin Bieber) - Piano",Dan + Shay,spotify:track:6HjF1gzVEZMb4GplnGl9B3,64,0.426,0.366,-6.514,1.0,0.0312,0.765,0.0,0.117,0.386,179.736,172320.0,10.0,Romance,Positive,94.61
32,100 Headaches,ROSIE,spotify:track:2xoAPLcvVx8TvVtny5a8a0,49,0.467,0.347,-9.287,1.0,0.0667,0.779,2.21e-05,0.142,0.379,140.08,171006.0,1.0,Pop,Negative,97.81
33,1008 Sivan Pottri - Language: Tamil,Mahanadhi Shobana,spotify:track:4clFSkPqc8XjmGlDi4tWRg,24,0.645,0.224,-9.04,1.0,0.0549,0.97,0.0,0.11,0.719,146.716,3908467.0,0.0,Devotional,None,0.0
34,108 Amman,Bombay Saradha,spotify:track:5XlwPApDlbI87YmtuHZkgm,8,0.625,0.77,-3.777,1.0,0.0509,0.759,0.0,0.387,0.672,103.921,367296.0,6.0,Devotional,None,0.0
35,108 Ayyapan Saranangal,Veeramani Raju,spotify:track:6eXbv3j2CIpbPttQkRnd6P,20,0.398,0.743,-3.261,1.0,0.0423,0.815,0.0,0.085,0.813,175.653,696312.0,2.0,Devotional,None,0.0
36,108 Potri (Maelmaruvathur),L. R. Eswari,spotify:track:48Z1J8CBFAC36QLdSjzheO,0,0.441,0.266,-10.999,1.0,0.0474,0.982,0.0,0.0746,0.488,116.122,428920.0,8.0,Devotional,None,0.0
37,10K,Obongjayar,spotify:track:2YIX0kppzV6I6qYpCOs327,30,0.641,0.823,-7.133,0.0,0.124,0.245,0.00614,0.331,0.476,114.958,197840.0,11.0,RADAR,Negative,63.29
